warehouse,date,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,user_activity_1,user_activity_2,id,warehouse_id,holiday_name_id,weekday,month
Prague_1,2020-12-05,6895,,0,0,0,0,0,0,0,0,0,0,0,1722,32575,Prague_1_2020-12-05,51,0,6,12
Prague_1,2020-12-06,6584,,0,0,0,0,0,0,0,0,0,0,0,1688,32507,Prague_1_2020-12-06,51,0,7,12
Prague_1,2020-12-07,7030,,0,0,0,0,0,0,0,0,0,0,0,1696,32552,Prague_1_2020-12-07,51,0,1,12
Prague_1,2020-12-08,6550,,0,0,0,0,0,0,0,0,0,0.8,0,1681,32423,Prague_1_2020-12-08,51,0,2,12
Prague_1,2020-12-09,6910,,0,0,0,0,0,0,0,0,0,0.5,0,1704,32410,Prague_1_2020-12-09,51,0,3,12
Prague_1,2020-12-10,7228,,0,0,0,0,0,0,0,0,0,0,0,1740,32432,Prague_1_2020-12-10,51,0,4,12
Prague_1,2020-12-11,7790,,0,0,0,0,0,0,0,0,0,0,0,1730,32471,Prague_1_2020-12-11,51,0,5,12
Prague_1,2020-12-12,7165,,0,0,0,0,0,0,0,0,0,0,0,1708,32476,Prague_1_2020-12-12,51,0,6,12
Prague_1,2020-12-13,6844,,0,0,0,0,0,0,0,0,0,0,0,1717,32458,Prague_1_2020-12-13,51,0,7,12
Prague_1,2020-12-14,7010,,0,0,0,0,0,0,0,0,0,0,0,1723,32505,Prague_1_2020-12-14,51,0,1,12
Prague_1,2020-12-15,7243,,0,0,0,0,0,0,0,0,0,0,0,1756,32401,Prague_1_2020-12-15,51,0,2,12
Prague_1,2020-12-16,7429,,0,0,0,0,0,0,0,0,0,0,0,1758,32406,Prague_1_2020-12-16,51,0,3,12
Prague_1,2020-12-17,7538,,0,0,0,0,0,0,0,0,0,0,0,1806,32456,Prague_1_2020-12-17,51,0,4,12
Prague_1,2020-12-18,8072,,0,0,0,0,0,0,0,0,0,0,0,1778,32470,Prague_1_2020-12-18,51,0,5,12
Prague_1,2020-12-19,7868,,0,0,0,0,0,0,0,0,0,0,0,1792,32452,Prague_1_2020-12-19,51,0,6,12
Prague_1,2020-12-20,8128,,0,0,0,0,0,0,0,0,0,0,0,1816,32417,Prague_1_2020-12-20,51,0,7,12
Prague_1,2020-12-21,8605,,0,0,0,0,0,0,0,0,0,0.9,0,1862,32534,Prague_1_2020-12-21,51,0,1,12
Prague_1,2020-12-22,8875,,0,0,0,0,0,0,0,0,0,3.1,0,1807,32530,Prague_1_2020-12-22,51,0,2,12
Prague_1,2020-12-23,8968,,0,0,0,0,0,0,0,0,0,2.8,0,1816,32511,Prague_1_2020-12-23,51,0,3,12
Prague_1,2020-12-24,4327,Christmas Eve,1,0,0,0,0,0,0,0,0,0.2,0,1652,32332,Prague_1_2020-12-24,51,4,4,12
Prague_1,2020-12-26,7784,2nd Christmas Day,1,0,0,1,0,0,0,0,0,0,0,1867,31922,Prague_1_2020-12-26,51,2,6,12
